Localidad	Población.total	Viviendas particulares habitadas	Población de 15 años o más analfabeta	Población de 15 años o más sin primaria completa	Viviendas particulares habitadas sin excusado	Viviendas particulares habitadas sin energía eléctrica	Viviendas particulares habitadas sin disponibilidad de agua entubada	Promedio de ocupantes por cuarto en viviendas particulares habitadas	Viviendas particulares habitadas con piso de tierra	Viviendas particulares habitadas que no disponen de refrigerador	Índice de marginación	Grado de marginación	"Índice de marginación escala 
0 a 100"	Lugar que ocupa en el contexto nacional	Lugar que ocupa en el contexto  estatal
El Derramadero	373	98	9.09	36.73	4.08	1.02	6.12	1.01	3.06	17.35	-0.9609	Medio	7.0238	 92 114	 1 403
Dieciocho de Marzo	301	87	4.8	31.51	0	0	3.45	0.99	2.33	6.9	-1.1786	Bajo	5.2956	 100 654	 1 715
Las Lagunitas	17	3	10	70	66.67	0	100	1.89	0	66.67	0.5574	Alto	19.0768	 26 194	157
El Erial	220	59	5.96	39.04	1.69	0	5.08	1.18	1.69	18.64	-0.9559	Medio	7.0637	 91 864	 1 394
Estados Unidos	234	69	10.29	42.86	24.64	0	98.51	1.41	5.8	44.93	-0.1794	Alto	13.2279	 52 121	453
Francisco Villa	191	43	4.46	33.33	18.6	2.33	0	1.49	4.65	13.95	-0.8578	Medio	7.8421	 87 065	 1 237
Guadalupe de las Mitras	32	11	7.41	62.96	27.27	0	100	0.91	10	27.27	-0.2111	Alto	12.9761	 53 559	470
Aquiles Serdán (La Hediondilla)	517	124	6.03	35.28	0.81	1.61	1.61	1.14	0.81	23.39	-0.9868	Medio	6.8178	 93 280	 1 442
Miguel Hidalgo	150	30	20	39.33	6.67	0	100	1.72	10	33.33	-0.1492	Alto	13.4679	 50 760	428
Laguna de Labradores	525	139	7.51	29.19	2.88	0	14.49	0.89	3.62	7.19	-1.1319	Bajo	5.6662	 99 168	 1 650
La Leona	146	38	20.56	54.21	15.79	0	2.63	1.23	0	13.16	-0.5808	Alto	10.0413	 72 274	835
Magueyes	119	30	2.47	37.5	13.33	0	33.33	1.51	0	6.67	-0.85	Medio	7.9042	 86 687	 1 220
La Nueva Betania	31	9	0	36.36	11.11	0	33.33	0.97	11.11	11.11	-0.949	Medio	7.118	 91 552	 1 383
Margaritas	325	64	20.17	51.27	15.63	10.94	100	1.88	6.25	53.13	0.2285	Alto	16.4659	 35 942	256
El Prado (El Mezquite)	443	109	8.78	40.42	11.93	0.92	7.34	1.34	2.75	24.77	-0.7464	Alto	8.7266	 81 135	 1 049
El Milagro	251	61	9.66	42.44	19.67	3.28	4.92	1.28	6.56	29.51	-0.625	Alto	9.6899	 74 581	897
Los Mimbres	222	62	10.69	45.22	1.61	1.61	0	1.31	6.45	24.19	-0.7406	Alto	8.7726	 80 817	 1 037
Navidad	778	192	11.48	39.68	7.29	6.25	7.81	1.48	2.6	35.42	-0.6107	Alto	9.8036	 73 817	874
Los Nogales	155	48	22.22	53.77	52.08	16.67	42.55	1.25	27.08	50	0.294	Alto	16.986	 33 763	232
La Nueva Esmeralda (Nuevo Poblado de la Esmeralda)	89	26	8.96	43.28	0	0	100	1.13	19.23	50	-0.2835	Alto	12.4015	 56 902	527
La Lagunita (El Orito)	180	45	8.03	46.97	4.44	0	0	1.4	2.33	26.67	-0.739	Alto	8.7852	 80 741	 1 035
Pablillo	923	253	4.71	26.71	7.11	0	0.79	1	2.37	16.21	-1.135	Bajo	5.6417	 99 287	 1 656
El Palmito	93	25	4.76	36.51	8	0	32	1.43	24	24	-0.6178	Alto	9.7472	 74 213	885
La Paz	466	119	13.64	40.39	5.88	4.2	5.08	1.47	7.56	35.29	-0.5757	Alto	10.0816	 71 980	829
El Peñuelo	153	48	20.33	54.55	25	0	2.08	1.13	6.25	16.67	-0.4915	Alto	10.7499	 67 501	733
Pinal Alto	178	40	8.41	40.19	2.5	2.5	100	1.66	2.5	25	-0.4128	Alto	11.3753	 63 364	662
Las Placetas	17	4	20	33.33	0	0	0	1.55	25	25	-0.5627	Alto	10.1845	 71 273	816
Los Pocitos	144	35	4.9	35.05	8.57	0	2.86	1.25	0	17.14	-0.9773	Medio	6.8934	 92 833	 1 428
El Porvenir de Santa Clara (El Coyote)	45	11	21.88	43.75	9.09	0	100	1.36	9.09	45.45	-0.0992	Alto	13.8645	 48 604	395
Catarino Rodríguez (El Potosí)	 1 946	506	7.92	29.53	6.72	0.2	5.54	0.97	0.79	10.47	-1.1065	Bajo	5.8677	 98 268	 1 605
El Potrero de Prieto	112	29	14.61	42.05	3.45	0	0	1.27	0	31.03	-0.7364	Alto	8.8057	 80 606	 1 030
El Potrero Prieto de Arriba	154	55	10.77	52.76	1.82	0	0	0.79	9.09	20	-0.8233	Medio	8.116	 85 273	 1 167
La Poza	180	46	8	44.07	8.7	0	0	1.13	0	4.35	-0.9683	Medio	6.9652	 92 437	 1 416
Presa de Gámez	36	7	13.79	44.83	0	0	100	1.33	0	14.29	-0.502	Alto	10.6667	 68 058	753
La Presita de Berlanga	155	37	12.75	39.6	0	0	100	1.76	13.51	32.43	-0.2461	Alto	12.6983	 55 142	495
La Primavera (El Charco)	155	39	10.58	35	5.13	2.56	100	1.25	2.56	17.95	-0.5756	Alto	10.0827	 71 975	828
La Providencia	166	41	2.59	38.39	2.44	4.88	100	1.04	2.44	12.2	-0.7363	Alto	8.8069	 80 597	 1 028
Puente las Joyas	15	8	13.33	73.33	12.5	0	0	0.65	12.5	100	-0.0562	Alto	14.2055	 46 723	372
El Encinal (Puerto el Encinal de la Poza)	94	22	10.14	32.84	0	0	100	1.49	0	31.82	-0.5162	Alto	10.5541	 68 825	766
Puerto de Pastores	139	42	10	41.38	11.9	2.38	14.29	1.09	2.38	16.67	-0.8103	Alto	8.2189	 84 573	 1 148
Puerto Grande	211	52	8.46	35.38	21.15	0	3.85	1.37	5.77	42.31	-0.6282	Alto	9.6648	 74 752	898
Puerto México	770	159	9.16	38.69	16.35	0	32.7	1.59	3.14	25.79	-0.5798	Alto	10.0494	 72 221	832
Refugio de los Ibarra	225	58	13.51	41.38	5.17	0	100	1.42	12.07	17.24	-0.3837	Alto	11.6057	 61 851	625
El Refugio (Refugio de los Ranchos)	225	55	2.67	30.41	9.09	0	100	1.22	3.64	18.18	-0.712	Alto	8.9997	 79 252	997
Rincón de San Lucas	19	5	12.5	50	60	0	0	1.46	20	60	0.0101	Alto	14.7324	 44 053	334
El Rucio	35	3	3.7	81.48	66.67	66.67	100	2.06	66.67	66.67	1.5113	Muy alto	26.6498	 9 753	31
Samaniego y la Becerra (Mariano Escobedo)	110	24	18.67	54.67	16.67	0	100	2	0	54.17	0.1776	Alto	16.062	 37 685	274
San Antonio de González	87	24	11.48	47.46	0	4.17	58.33	1.18	0	25	-0.5895	Alto	9.9718	 72 734	847
San Antonio del Salero	130	40	18.63	63.27	15	5	100	1.16	7.5	27.5	-0.056	Alto	14.2078	 46 712	371
San Felipe de Pablillo	18	7	15.38	46.15	14.29	28.57	100	0.9	28.57	42.86	0.0435	Alto	14.9976	 42 701	319
San Fernando	72	23	2.04	44.68	0	0	100	0.85	0	34.78	-0.6574	Alto	9.4334	 76 344	934
San Francisco de Berlanga	290	76	16.11	48.57	6.58	8	100	1.34	15.79	36.84	-0.1	Alto	13.8581	 48 645	396
San Francisco de los Blancos	373	89	5.95	32.32	0	0	1.12	1.21	8.99	14.61	-1.011	Medio	6.6262	 94 322	 1 466
San Francisco Javier	151	40	23.36	52.38	0	2.5	2.5	1.34	25	30	-0.3361	Alto	11.9837	 59 412	575
San Ildefonso	329	70	18.1	49.55	38.57	1.43	61.43	1.62	8.57	38.57	-0.0072	Alto	14.5949	 44 704	348
San Isidro de Berlanga	64	17	27.66	65.96	35.29	0	100	1.14	6.25	17.65	0.0968	Alto	15.4208	 40 677	303
San Isidro de Ciénega del Toro	62	16	4.88	57.5	43.75	12.5	100	1.44	0	25	-0.0613	Alto	14.1654	 46 959	376
San Joaquín	330	76	15.09	36.97	1.32	1.32	96.05	1.33	3.95	21.05	-0.4921	Alto	10.745	 67 533	735
San Jorge	108	23	23.68	50	0	8.7	100	1.48	13.04	30.43	-0.0448	Alto	14.2966	 46 269	366
San José de Contreras	89	22	3.39	33.93	4.55	0	95.45	1.24	0	18.18	-0.7289	Alto	8.8658	 80 178	 1 020
San José de González	128	39	14.29	45.92	15.38	7.69	94.87	1.13	5.13	41.03	-0.2219	Alto	12.8907	 54 037	475
San José de las Joyas	232	61	19.19	49.4	1.64	0	1.67	1.35	10	24.59	-0.5598	Alto	10.2076	 71 114	813
San José de la Martha	208	58	11.11	49.34	44.83	3.45	100	1.02	5.17	29.31	-0.1668	Alto	13.3275	 51 536	445
Río de San José	140	39	1.89	57.55	20.51	2.56	5.13	1.17	23.08	38.46	-0.4336	Alto	11.2094	 64 442	679
San José de Raíces	 2 365	557	9.11	31.49	3.77	1.26	11.33	1.29	3.59	12.03	-0.948	Medio	7.1262	 91 503	 1 380
San Juan de Dios	115	35	25.58	58.14	42.86	5.71	100	1.21	0	25.71	0.0979	Alto	15.429	 40 632	301
San Juan del Prado	306	81	9.95	38.25	25.93	2.47	6.17	1.24	2.47	24.69	-0.6957	Alto	9.1293	 78 373	975
San Juan de Mimbres	88	29	9.23	44.62	0	0	0	1.13	6.9	24.14	-0.8307	Medio	8.0574	 85 661	 1 179
San Lucas (La Mesa)	203	53	6.34	43.26	37.74	0	66.04	1.32	9.43	16.98	-0.4218	Alto	11.3035	 63 812	668
San Marcos	224	62	6.37	34.62	16.13	0	100	1.39	6.45	29.03	-0.4516	Alto	11.0667	 65 359	701
Congregación de San Pablo	54	18	4.76	52.38	0	0	0	0.84	0	16.67	-0.9819	Medio	6.8573	 93 041	 1 430
San Pablo de las Mitras	48	16	10	60	0	0	87.5	1.07	6.25	25	-0.4028	Alto	11.454	 62 814	646
San Pablo de Raíces	96	27	5.8	32.84	7.41	0	100	1.37	18.52	40.74	-0.3784	Alto	11.6477	 61 565	620
San Pablo (Tranquitas)	25	6	27.78	61.11	0	0	100	0.96	0	0	-0.3541	Alto	11.8412	 60 310	592
San Pedro Sotolar	155	39	9.62	44.66	2.56	0	100	1.78	7.89	64.1	-0.0619	Alto	14.1608	 46 984	377
San Rafael	 2 379	563	7.74	27.6	4.97	1.08	11.83	1.26	1.79	22.2	-0.9551	Medio	7.0694	 91 830	 1 393
San Ramón	54	16	9.3	45.24	18.75	12.5	56.25	1.08	0	37.5	-0.4363	Alto	11.1884	 64 576	682
San Roberto	316	80	8.46	48.42	7.5	3.75	1.25	1.39	10	28.75	-0.6115	Alto	9.7977	 73 855	875
Santa Anita del Peñasco	36	8	23.81	47.62	12.5	0	100	1.8	12.5	50	0.1543	Alto	15.8771	 38 524	282
Santa Clara de Ciénega del Toro	241	69	18.38	50.82	24.64	1.49	29.41	1.12	11.76	53.62	-0.1984	Alto	13.0767	 53 006	465
Santa Clara de González	384	107	6.34	37.32	7.48	0	2.8	1.12	1.87	10.28	-1.0077	Medio	6.6522	 94 187	 1 459
Santa Cruz	225	56	18.37	44.44	33.93	7.14	100	1.56	10.71	48.21	0.1352	Alto	15.7249	 39 233	289
Santa Cruz Ciénega del Toro	262	69	11.23	53.76	5.8	1.54	9.38	1.49	6.06	42.03	-0.4409	Alto	11.1515	 64 826	686
Santa Cruz de Sauces	107	34	12.05	40.24	29.41	5.88	82.35	1.09	26.47	47.06	-0.103	Alto	13.8344	 48 769	399
Santa Fe	126	33	0.98	26.04	6.06	0	12.12	1.02	6.06	9.09	-1.1699	Bajo	5.3647	 100 425	 1 706
Santa María del Socorro	123	35	16.84	70.53	28.57	0	2.86	1.13	11.43	28.57	-0.2461	Alto	12.6985	 55 141	494
Santa María de Ramos	662	152	7.45	30.05	6.58	1.32	2.63	1.3	2.63	21.05	-0.9436	Medio	7.1613	 91 289	 1 377
Santa Rita (Santa Rita de Cordeladas)	168	35	6.48	22.33	5.71	2.86	11.76	1.54	11.43	14.29	-0.9127	Medio	7.4063	 89 816	 1 321
Santo Domingo	222	55	3.73	33.54	3.64	0	29.09	1.25	1.82	25.45	-0.8882	Medio	7.6007	 88 607	 1 284
San Urbet	95	19	3.45	26.32	15.79	0	100	1.73	5.26	26.32	-0.5038	Alto	10.6525	 68 166	756
Seis de Enero	94	20	13.33	37.93	15	5	90	1.74	10	35	-0.1834	Alto	13.1958	 52 320	455
Tampico	9	5	22.22	44.44	60	100	100	0.69	20	100	1.0497	Muy alto	22.9854	 15 924	74
Tanquecillos	207	62	15.33	55.7	17.74	3.23	4.84	1.12	11.29	27.42	-0.4587	Alto	11.0107	 65 753	708
Tapias (El Chaparral)	74	22	8.51	36.96	9.09	0	0	1.16	0	13.64	-0.9654	Medio	6.9878	 92 304	 1 411
San Ignacio de Texas	323	93	15.57	48.15	7.53	8.6	100	1.12	3.23	31.18	-0.2828	Alto	12.4073	 56 861	525
El Tokio	249	61	4.26	32.95	1.64	1.64	13.11	1.2	0	6.56	-1.081	Bajo	6.0703	 97 298	 1 571
El Tepozán	146	37	14.43	41.49	8.11	10.81	100	1.59	2.7	67.57	-0.0006	Alto	14.6472	 44 450	344
Puerto de Acapulco (Tanque Roto)	47	12	15.63	31.25	8.33	8.33	100	1.15	33.33	25	-0.2676	Alto	12.5277	 56 124	517
La Rosa	82	21	8.93	33.93	14.29	0	100	0.96	0	23.81	-0.6308	Alto	9.6441	 74 899	902
San Antonio de Magueycillos	36	7	9.52	20	28.57	0	100	1.44	0	0	-0.6908	Alto	9.1677	 78 143	970
Lote Uno Fracción Navidad (Benito Juárez)	172	36	6.25	38.32	5.56	0	2.78	1.56	0	25	-0.8137	Alto	8.1922	 84 734	 1 154
Alfredo V. Bonfil (La Lagunita)	93	22	10.94	34.38	0	0	9.09	1.58	22.73	36.36	-0.575	Alto	10.0869	 71 944	827
Lajas Negras	48	13	20	34.29	46.15	0	23.08	1.17	30.77	38.46	-0.193	Alto	13.1196	 52 768	462
Los Llanitos	96	24	11.11	43.55	20.83	4.17	25	1.35	12.5	33.33	-0.4357	Alto	11.1928	 64 541	681
La Fábrica (Ojo de Agua)	22	6	11.11	61.11	0	0	0	0.85	0	16.67	-0.8136	Alto	8.1934	 84 726	 1 153
La Habana	20	6	5.56	38.89	0	0	0	0.83	0	16.67	-1.108	Bajo	5.856	 98 324	 1 608
Manila	75	20	3.85	34.69	0	5	0	1.1	0	15	-1.0761	Bajo	6.109	 97 108	 1 564
La Esperanza	15	3	0	40	0	0	33.33	1.67	33.33	0	-0.7004	Alto	9.0919	 78 631	981
El Porvenir	19	5	10	30	0	0	20	1.36	0	0	-1.0319	Medio	6.46	 95 246	 1 499
La y de Arriba	71	20	7.02	29.63	0	0	0	1.11	0	0	-1.2056	Bajo	5.0813	 101 446	 1 753
La y de Galeana (Y de Puerto de Pastores)	19	4	10	20	0	0	0	1.9	0	25	-0.8962	Medio	7.5374	 89 005	 1 305
Campamento los Cabriales (La Providencia)	15	3	77.78	88.89	66.67	66.67	100	2.5	0	100	2.3719	Muy alto	33.482	 3 120	1
El Camuco (La Leona)	52	12	12.9	30	33.33	0	0	1.41	0	0	-0.8525	Medio	7.8845	 86 814	 1 225
El Raiceño	31	8	0	15.79	12.5	0	25	1.35	0	0	-1.2111	Bajo	5.0373	 101 603	 1 757
Pénjamo	36	8	14.81	50	12.5	0	25	1.44	0	0	-0.6635	Alto	9.385	 76 676	939
La Nueva Primavera	137	28	6.25	37.08	0	3.57	10.71	1.57	3.57	14.29	-0.8481	Medio	7.9193	 86 566	 1 215
Ojo de Agua (El Paso)	38	8	23.08	65.38	25	12.5	100	2	0	62.5	0.5149	Alto	18.7399	 27 325	166
La Piedra	51	14	3.23	45.16	7.14	0	100	1.42	7.14	14.29	-0.5153	Alto	10.5613	 68 774	765
Tomates	12	3	0	30	0	0	100	1.5	66.67	0	-0.4009	Alto	11.4691	 62 722	642
Palma los Monos (San Juan de Dios)	19	4	0	50	75	0	50	2.11	0	100	0.3842	Alto	17.7021	 30 956	201
La Loba	20	4	18.18	30	75	0	100	2.86	75	100	1.2972	Muy alto	24.9498	 12 254	48
El Encinal	50	13	7.5	47.5	0	0	0	1.19	0	7.69	-0.9545	Medio	7.0741	 91 795	 1 391
Joyas de Agua Fría	66	19	9.3	45.24	0	15.38	0	1.43	10.53	100	-0.1621	Alto	13.3654	 51 333	442
La Esperanza (El Coyote)	123	26	10	44.3	30.77	3.85	100	1.5	19.23	38.46	-0.0262	Alto	14.4437	 45 501	361
El Capricho de Cayma (Sociedad de Producción Rural)	14	3	0	30	0	0	0	2.33	0	33.33	-0.7543	Alto	8.6637	 81 571	 1 066
Pablillo (Aserradero)	7	4	0	42.86	0	0	0	0.47	25	25	-1.0137	Medio	6.6049	 94 449	 1 470
La Trinidad (El Cedrito)	231	62	11.43	39.13	12.9	9.68	3.23	1.4	17.74	27.42	-0.5436	Alto	10.3368	 70 283	798
La Huiche (Mineral)	51	10	9.09	26.67	10	10	100	1.76	0	20	-0.468	Alto	10.937	 66 234	717
San Isidro (Terreros)	8	4	37.5	100	0	0	0	0.8	0	100	0.3911	Alto	17.7572	 30 741	198
Santa Inés (La Montaña)	27	6	0	17.65	0	0	100	1.5	0	0	-0.9829	Medio	6.8492	 93 094	 1 435
Los Aguacates	82	22	14.75	34.43	13.64	4.55	13.64	1.09	9.09	27.27	-0.6878	Alto	9.1919	 77 998	963
Entronque San Roberto	80	17	3.85	35.29	0	0	0	1.54	0	5.88	-1.0361	Medio	6.4268	 95 414	 1 507
Barrio las Flores	32	11	14.81	44.44	0	0	0	0.78	0	0	-1.052	Medio	6.3004	 96 100	 1 531
La Loma	8	3	28.57	42.86	33.33	100	100	1.33	0	100	0.9951	Muy alto	22.5522	 16 809	90
El Molino	81	21	1.92	36	4.76	9.52	4.76	1.23	0	23.81	-0.9273	Medio	7.2903	 90 544	 1 352
El Ranchito	11	3	20	20	33.33	66.67	100	1.38	0	100	0.4695	Alto	18.3794	 28 543	179
El Salitre	14	4	16.67	50	0	0	0	0.93	0	0	-0.933	Medio	7.2453	 90 801	 1 361
San Roberto	29	7	0	22.22	0	0	0	1.21	0	14.29	-1.2526	Bajo	4.708	 102 630	 1 799
Agua Nueva (El Pozo)	79	21	3.77	32.08	0	0	14.29	1.2	0	0	-1.1513	Bajo	5.5121	 99 828	 1 674
Venustiano Carranza Grupo B (Los Taracos)	150	32	17.14	33.65	6.25	3.13	6.45	1.56	6.25	37.5	-0.5697	Alto	10.1293	 71 656	820
Las Esperanzas	194	43	11.29	31.97	0	0	0	1.22	0	11.63	-1.0286	Medio	6.4859	 95 096	 1 495
La Palapa	14	4	0	30	0	0	0	1.08	0	0	-1.2978	Bajo	4.3493	 103 560	 1 851
Las Cordeladas	26	7	0	35.71	0	0	57.14	1.13	0	14.29	-0.9571	Medio	7.0541	 91 928	 1 397
Corona del Rosal	21	5	10.53	29.41	0	0	100	1.11	20	0	-0.7038	Alto	9.0649	 78 825	985
Francisco Villa (San Francisco de Balderas)	35	8	21.05	52.63	0	75	62.5	2.06	0	100	0.7278	Muy alto	20.4298	 22 115	122
El Cedral	131	30	3.45	28.24	0	3.33	0	1.35	10	16.67	-1.0078	Medio	6.6513	 94 194	 1 461
Alto de Guadalupe	44	9	3.23	20.69	11.11	0	11.11	1.57	0	11.11	-1.0478	Medio	6.3336	 95 929	 1 525
Las Lagunitas	8	3	33.33	100	66.67	0	100	0.8	66.67	33.33	1.1054	Muy alto	23.4275	 14 978	64
Agua Nueva (Santa Fe)	7	3	0	33.33	0	0	0	0.78	0	33.33	-1.145	Bajo	5.5619	 99 624	 1 665
La Victoria (La Majada)	15	3	11.11	44.44	0	0	0	1.25	0	0	-0.9698	Medio	6.953	 92 504	 1 419
Las Vegas de San Isidro	16	6	0	30	0	0	100	1.07	33.33	33.33	-0.5466	Alto	10.3127	 70 437	801
La Curva (María)	16	4	0	0	0	0	100	1.45	50	25	-0.6746	Alto	9.2964	 77 314	950
Jesús María Aguirre (Puerto de Nopalillos)	61	17	15.09	49.06	11.76	11.76	94.12	0.91	11.76	29.41	-0.2637	Alto	12.5586	 55 933	511
Puerto de Nopalillos	12	4	33.33	88.89	0	25	100	1.09	75	50	1.0002	Muy alto	22.5923	 16 731	89
Los Pinos	5	3	0	75	0	0	100	0.83	0	0	-0.5993	Alto	9.894	 73 217	859
El Fresno (El Caracol)	9	4	16.67	50	25	25	50	1	25	50	0.0226	Alto	14.8317	 43 536	328
Loba Chica	26	5	0	90.91	20	0	100	1.73	0	100	0.5256	Alto	18.8247	 27 032	164
Ninguno	16	4	0	33.33	0	0	0	1.33	0	50	-0.8938	Medio	7.5564	 88 891	 1 294
El Pasaje (El Puente)	20	5	0	6.67	0	0	0	1.33	0	0	-1.46	Muy bajo	3.0616	 105 540	 1 969
Reforma de Agua Blanca (Palo Gacho)	14	4	0	50	0	0	100	0.78	0	100	-0.2546	Alto	12.6308	 55 528	503
Salida A San Lucas (Virgilio Alejandro A.)	9	3	0	0	33.33	0	33.33	1.13	33.33	66.67	-0.6456	Alto	9.5265	 75 709	918
Cabañas Linares	13	4	0	33.33	0	0	50	1.08	0	25	-0.9524	Medio	7.0911	 91 701	 1 388
Las Palmas	9	3	28.57	71.43	66.67	33.33	33.33	1.13	66.67	66.67	1.0473	Muy alto	22.9658	 15 963	75
Morales	19	3	7.14	78.57	100	66.67	100	3.8	33.33	100	2.1669	Muy alto	31.8543	 4 233	6
La Junta	13	3	0	0	0	0	33.33	1.18	0	33.33	-1.2577	Bajo	4.6678	 102 754	 1 807
Calabacillas	21	5	12.5	28.57	0	0	20	1	0	0	-1.1132	Bajo	5.8147	 98 526	 1 618
Ninguno	19	6	0	0	0	0	0	0.83	0	0	-1.6625	Muy bajo	1.4538	 106 922	 2 032
Venustiano Carranza (Lote Diecinueve)	29	7	6.67	20	14.29	0	57.14	1.38	42.86	42.86	-0.409	Alto	11.4051	 63 151	656
García	 93 641	 24 174	2.31	11.13	1.7	0.24	1.76	1.21	3.13	7.73	-1.3344	Muy bajo	4.0583	 104 149	 1 889
La Candelaria	410	100	14.62	44.62	4	3.03	65.66	1.36	3.03	17	-0.5167	Alto	10.5498	 68 850	767
Los Cerritos	10	3	0	12.5	33.33	66.67	100	2	0	100	0.3151	Alto	17.1532	 33 085	222
Cristalosa	54	17	14.29	42.86	0	11.76	94.12	1.1	23.53	29.41	-0.2704	Alto	12.5053	 56 259	518
Chupaderos del Indio	69	22	14.29	42.86	22.73	4.55	95.45	1.33	4.55	27.27	-0.2596	Alto	12.591	 55 755	508
Los Fierros	118	32	14.46	39.76	9.38	0	100	1.36	3.13	21.88	-0.4135	Alto	11.369	 63 405	663
La Gloria	191	54	4.35	34.11	0	0	37.74	0.89	0	0	-1.1332	Bajo	5.6556	 99 214	 1 653
Icamole	110	35	6.41	44.16	0	0	2.86	1.16	5.71	20	-0.8863	Medio	7.6162	 88 526	 1 279
Valle de Lincoln	 5 759	 1 623	0.95	5.76	0.86	0.19	0.37	1.13	4.11	5.24	-1.4444	Muy bajo	3.1855	 105 407	 1 963
Maravillas y Anexas	118	35	16.67	45.24	8.57	14.29	94.29	1.16	20	42.86	-0.0777	Alto	14.0354	 47 661	381
El Milagro	60	16	9.52	45.24	0	0	43.75	1.27	0	6.25	-0.7975	Alto	8.3205	 83 880	 1 133
Las Palomas	127	37	17.72	37.18	5.41	0	100	1.29	16.22	21.62	-0.3517	Alto	11.8599	 60 199	589
Paso de Guadalupe y Mariposa	146	32	14.46	39.02	3.13	0	96.88	1.26	12.5	28.13	-0.392	Alto	11.5396	 62 272	634
Rinconada	414	113	3.99	23.22	2.65	0	99.12	1.04	4.42	4.42	-0.9338	Medio	7.2385	 90 840	 1 364
Sabanillas	132	37	11.39	51.28	2.7	8.11	100	1.67	13.51	75.68	0.1555	Alto	15.8866	 38 487	281
San Antonio de las Mitras	13	3	0	0	33.33	66.67	100	1.63	0	66.67	-0.1114	Alto	13.7678	 49 124	405
San José	176	50	4.84	26.02	6	2	80	1.18	8	6	-0.8528	Medio	7.8816	 86 837	 1 227
Los Elotes (Villa de García)	36	17	10.71	57.14	0	29.41	88.24	0.86	52.94	41.18	0.125	Alto	15.6441	 39 637	295
La Soledad	30	10	13.64	50	10	20	100	1.3	60	50	0.3511	Alto	17.4391	 31 966	212
Rancho de Enmedio (Las Mitras)	14	5	0	20	0	0	40	1	0	0	-1.2896	Bajo	4.4144	 103 401	 1 840
San Isidro	136	34	14.89	38.89	0	2.94	44.12	1.33	2.94	11.76	-0.7037	Alto	9.0653	 78 822	984
Los Cerritos (Nuevos Cerritos)	292	76	6.91	30.05	5.26	3.95	10.53	1.3	7.89	14.47	-0.9197	Medio	7.351	 90 163	 1 333
Parque Industrial Ciudad Mitras	 18 312	 5 037	0.65	4.78	2.16	0.12	0.12	1.38	2.02	6.04	-1.3926	Muy bajo	3.5965	 104 891	 1 936
San Cristóbal (La Ventura)	105	34	24.69	60	2.94	94.12	100	0.97	23.53	100	0.9667	Muy alto	22.3266	 17 313	92
Unión Emiliano Zapata	6	3	16.67	66.67	0	33.33	0	0.75	0	100	-0.0057	Alto	14.6067	 44 632	347
El Fraile	235	67	14.29	45.14	7.46	92.54	100	1.27	32.84	97.01	0.8346	Muy alto	21.2774	 19 820	106
Las Palmas	20	5	9.09	63.64	0	0	40	1.67	20	20	-0.3027	Alto	12.2489	 57 851	545
El Porvenir (Extensión Cerritos)	9	5	25	50	0	0	40	0.64	40	20	-0.3823	Alto	11.6172	 61 777	623
Garzas y Capellanía	9	4	0	62.5	25	0	100	0.9	25	0	-0.3858	Alto	11.5892	 61 978	627
Ampliación Cerritos	10	5	30	66.67	0	60	100	0.77	40	60	0.6873	Alto	20.1086	 23 026	132
El Temporal	9	4	0	55.56	25	0	100	0.9	50	25	-0.1306	Alto	13.6152	 49 965	413
Las Torres de Guadalupe	 1 010	260	8.94	32.05	14.23	2.8	96.76	2.09	16	64.23	0.0213	Alto	14.8208	 43 579	329
La Esperanza	7	4	28.57	42.86	0	25	75	0.64	0	25	-0.3864	Alto	11.5848	 62 005	628
El Rubio	9	3	11.11	44.44	0	0	33.33	1.13	0	0	-0.8952	Medio	7.5451	 88 963	 1 300
Julián Flores Medina	13	3	20	30	33.33	100	100	1.44	33.33	100	1.0211	Muy alto	22.7579	 16 379	82
El Detalle	8	4	0	33.33	0	0	100	1.14	25	0	-0.7538	Alto	8.6676	 81 549	 1 065
Nuevo Cerritos	33	7	7.41	25.93	14.29	28.57	85.71	1.22	14.29	42.86	-0.3131	Alto	12.1666	 58 320	550
Sesteo de las Aves	28	6	0	52.38	16.67	0	100	1.27	0	0	-0.6056	Alto	9.8444	 73 536	868
Lomas de García	247	56	2.84	16.55	0	0	100	1.51	10.71	7.14	-0.8384	Medio	7.996	 86 054	 1 190
Ninguno	219	50	5.79	26.89	6	92	100	1.83	82	100	1.0465	Muy alto	22.9602	 15 971	77
Montana (Maravillas)	18	6	0	30.77	0	0	100	1.29	0	33.33	-0.7088	Alto	9.0249	 79 092	991
Villas del Poniente	 18 246	 5 378	0.12	1.52	3.63	0	0.1	0.81	0.56	4.35	-1.5999	Muy bajo	1.9511	 106 541	 2 022
Valle de San Felipe	763	190	2.42	8.56	0	0.53	0	1.32	1.05	3.68	-1.3809	Muy bajo	3.6892	 104 755	 1 929
Campestre Fundadores	26	10	9.52	55	10	100	100	0.82	50	100	0.947	Muy alto	22.1697	 17 706	94
La Ruina (Maravillas)	16	6	7.14	61.54	0	33.33	100	0.94	33.33	50	0.126	Alto	15.6522	 39 606	293
Los Parques	 1 749	512	0.52	5.43	0	0	0	0.95	0	3.71	-1.5471	Muy bajo	2.3697	 106 177	 2 001
Paraje San Francisco	396	107	1.69	11.64	2.8	0	0	0.99	10.58	3.74	-1.3708	Muy bajo	3.7696	 104 640	 1 922
